timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1775579918770,288,GET /api/load/articles,200,,Lasttest 1-89,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,287,0,0
1775579918821,240,GET /api/load/goods-receipts,200,,Lasttest 1-90,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,240,0,0
1775579918786,282,GET /api/load/articles,200,,Lasttest 1-5,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,282,0,0
1775579918836,232,GET /api/load/kommissionen,200,,Lasttest 1-55,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,232,0,0
1775579918836,240,GET /api/load/goods-receipts,200,,Lasttest 1-32,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,239,0,0
1775579918836,240,GET /api/load/storage-locations,200,,Lasttest 1-53,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,239,0,0
1775579918836,240,GET /api/load/goods-receipts,200,,Lasttest 1-35,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,239,0,0
1775579918853,227,GET /api/load/kommissionen,200,,Lasttest 1-96,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,227,0,0
1775579918821,259,GET /api/load/articles,200,,Lasttest 1-38,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,259,0,0
1775579918853,227,GET /api/load/kommissionen,200,,Lasttest 1-8,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,227,0,0
1775579918853,235,GET /api/load/kommissionen,200,,Lasttest 1-6,text,true,,3613,137,100,100,http://localhost:8081/api/load/kommissionen,235,0,0
1775579918853,255,GET /api/load/storage-locations,200,,Lasttest 1-42,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,254,0,0
1775579918871,242,GET /api/load/storage-locations,200,,Lasttest 1-12,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,241,0,0
1775579918888,236,GET /api/load/goods-receipts,200,,Lasttest 1-56,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,235,0,0
1775579918888,237,GET /api/load/storage-locations,200,,Lasttest 1-65,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,236,0,0
1775579918853,272,GET /api/load/articles,200,,Lasttest 1-79,text,true,,5510,148,100,100,http://localhost:8081/api/load/articles?page=0&size=20,272,0,0
1775579918888,237,GET /api/load/goods-receipts,200,,Lasttest 1-47,text,true,,1665,139,100,100,http://localhost:8081/api/load/goods-receipts,237,0,0
1775579918888,237,GET /api/load/storage-locations,200,,Lasttest 1-85,text,true,,13925,142,100,100,http://localhost:8081/api/load/storage-locations,237,0,0
